event_id,date,time,currency,event,actual,forecast,previous
150946,2025-11-25,4:30pm,USD,Core PPI m/m,0.1%,0.2%,-0.1%
150950,2025-11-25,All Day,USD,Core Retail Sales m/m,0.3%,0.3%,0.6%
150945,2025-11-25,All Day,USD,PPI m/m,0.3%,0.3%,-0.1%
150951,2025-11-25,All Day,USD,Retail Sales m/m,0.2%,0.4%,0.6%
144091,2025-11-26,3:30am,AUD,CPI y/y,3.8%,3.6%,3.5%
141370,2025-11-26,4:00am,NZD,Official Cash Rate,2.25%,2.25%,2.50%
141381,2025-11-26,All Day,NZD,RBNZ Monetary Policy Statement,,,
141377,2025-11-26,All Day,NZD,RBNZ Rate Statement,,,
141385,2025-11-26,5:00am,NZD,RBNZ Press Conference,,,
143323,2025-11-26,3:30pm,GBP,Autumn Forecast Statement,,,
141477,2025-11-26,4:30pm,USD,Unemployment Claims,216K,226K,222K
144966,2025-11-28,4:30pm,CAD,GDP m/m,,0.2%,-0.3%
145130,2025-11-17,4:30pm,CAD,CPI m/m,0.2%,0.2%,0.1%
145174,2025-11-17,All Day,CAD,Median CPI y/y,2.9%,3.1%,3.1%
145175,2025-11-17,All Day,CAD,Trimmed CPI y/y,3.0%,3.0%,3.1%
150895,2025-11-18,11:10am,USD,Unemployment Claims,232K,,220K
141628,2025-11-19,3:30am,AUD,Wage Price Index q/q,0.8%,0.8%,0.8%
143627,2025-11-19,10:00am,GBP,CPI y/y,3.6%,3.5%,3.8%
141242,2025-11-19,10:00pm,USD,FOMC Meeting Minutes,,,
150886,2025-11-20,All Day,USD,Average Hourly Earnings m/m,0.2%,0.3%,0.3%
150885,2025-11-20,All Day,USD,Non-Farm Employment Change,119K,53K,-4K
150972,2025-11-20,All Day,USD,Unemployment Claims,220K,227K,228K
150884,2025-11-20,All Day,USD,Unemployment Rate,4.4%,4.3%,4.3%
143674,2025-11-21,10:00am,GBP,Retail Sales m/m,-1.1%,-0.1%,0.7%
142221,2025-11-21,11:30am,EUR,German Flash Manufacturing PMI,48.4,49.8,49.6
142222,2025-11-21,All Day,EUR,German Flash Services PMI,52.7,54.0,54.6
142219,2025-11-21,12:30pm,GBP,Flash Manufacturing PMI,50.2,49.3,49.7
142220,2025-11-21,All Day,GBP,Flash Services PMI,50.5,51.9,52.3
143937,2025-11-21,5:45pm,USD,Flash Manufacturing PMI,51.9,52.0,52.5
143949,2025-11-21,All Day,USD,Flash Services PMI,55.0,54.6,54.8
143812,2025-11-11,10:00am,GBP,Claimant Count Change,29.0K,17.6K,0.4K
144166,2025-11-13,3:30am,AUD,Employment Change,42.2K,20.0K,12.8K
144178,2025-11-13,All Day,AUD,Unemployment Rate,4.3%,4.4%,4.5%
143749,2025-11-13,10:00am,GBP,GDP m/m,-0.1%,0.0%,0.0%
140738,2025-11-03,10:30am,CHF,CPI m/m,-0.3%,-0.1%,-0.2%
141145,2025-11-03,6:00pm,USD,ISM Manufacturing PMI,48.7,49.4,49.1
149984,2025-11-03,9:30pm,CAD,BOC Gov Macklem Speaks,,,
141343,2025-11-04,6:30am,AUD,Cash Rate,3.60%,3.60%,3.60%
144901,2025-11-04,All Day,AUD,RBA Monetary Policy Statement,,,
141351,2025-11-04,All Day,AUD,RBA Rate Statement,,,
141359,2025-11-04,7:30am,AUD,RBA Press Conference,,,
141743,2025-11-05,12:45am,NZD,Employment Change q/q,0.0%,0.1%,-0.2%
141747,2025-11-05,All Day,NZD,Unemployment Rate,5.3%,5.3%,5.2%
142729,2025-11-05,4:15pm,USD,ADP Non-Farm Employment Change,42K,32K,-29K
141168,2025-11-05,6:00pm,USD,ISM Services PMI,52.4,50.7,50.0
150017,2025-11-06,12:30am,CAD,BOC Gov Macklem Speaks,,,
143366,2025-11-06,3:00pm,GBP,BOE Monetary Policy Report,,,
143364,2025-11-06,All Day,GBP,Monetary Policy Summary,,,
143365,2025-11-06,All Day,GBP,MPC Official Bank Rate Votes,0-4-5,0-3-6,0-2-7
143363,2025-11-06,All Day,GBP,Official Bank Rate,4.00%,4.00%,4.00%
149996,2025-11-06,All Day,GBP,BOE Gov Bailey Speaks,,,
150018,2025-11-06,6:30pm,CAD,BOC Gov Macklem Speaks,,,
144978,2025-11-07,4:30pm,CAD,Employment Change,66.6K,-5.0K,60.4K
144990,2025-11-07,All Day,CAD,Unemployment Rate,6.9%,7.1%,7.1%
148823,2025-10-27,11:15am,AUD,RBA Gov Bullock Speaks,,,
141632,2025-10-29,3:30am,AUD,CPI q/q,1.3%,1.1%,0.7%
144090,2025-10-29,All Day,AUD,CPI y/y,3.5%,3.1%,3.0%
141636,2025-10-29,All Day,AUD,Trimmed Mean CPI q/q,1.0%,0.8%,0.6%
141398,2025-10-29,4:45pm,CAD,BOC Monetary Policy Report,,,
141404,2025-10-29,All Day,CAD,BOC Rate Statement,,,
141392,2025-10-29,All Day,CAD,Overnight Rate,2.25%,2.25%,2.50%
141409,2025-10-29,5:30pm,CAD,BOC Press Conference,,,
141213,2025-10-29,9:00pm,USD,Federal Funds Rate,4.00%,4.00%,4.25%
141221,2025-10-29,All Day,USD,FOMC Statement,,,
141229,2025-10-29,9:30pm,USD,FOMC Press Conference,,,
144316,2025-10-30,6:15am,JPY,BOJ Outlook Report,,,
144317,2025-10-30,All Day,JPY,BOJ Policy Rate,<0.50%,<0.50%,<0.50%
144318,2025-10-30,All Day,JPY,Monetary Policy Statement,,,
144319,2025-10-30,All Day,JPY,BOJ Press Conference,,,
142942,2025-10-30,4:15pm,EUR,Main Refinancing Rate,2.15%,2.15%,2.15%
142943,2025-10-30,All Day,EUR,Monetary Policy Statement,,,
142941,2025-10-30,4:45pm,EUR,ECB Press Conference,,,
140686,2025-10-31,4:30am,CNY,Manufacturing PMI,49.0,49.6,49.8
144965,2025-10-31,3:30pm,CAD,GDP m/m,-0.3%,0.0%,0.3%
144854,2025-10-20,12:45am,NZD,CPI q/q,1.0%,0.8%,0.5%
145129,2025-10-21,3:30pm,CAD,CPI m/m,0.1%,-0.1%,-0.1%
145170,2025-10-21,All Day,CAD,Median CPI y/y,3.2%,3.0%,3.2%
145171,2025-10-21,All Day,CAD,Trimmed CPI y/y,3.1%,3.0%,3.0%
143621,2025-10-22,9:00am,GBP,CPI y/y,3.8%,4.0%,3.8%
