"event_id","date","time","currency","event","actual","forecast","previous","price_before","price_after","pct_change","pair"
"150946","2025-11-25","16:30","USD","Core PPI m/m","0.10%","0.20%","-0.10%","4141.248","4144.725","0.084","XAUUSD"
"150950","2025-11-25","16:30","USD","Core Retail Sales m/m","0.30%","0.30%","0.60%","4141.248","4144.725","0.084","XAUUSD"
"150945","2025-11-25","16:30","USD","PPI m/m","0.30%","0.30%","-0.10%","4141.248","4144.725","0.084","XAUUSD"
"150951","2025-11-25","16:30","USD","Retail Sales m/m","0.20%","0.40%","0.60%","4141.248","4144.725","0.084","XAUUSD"
"144091","2025-11-26","3:30","AUD","CPI y/y","3.80%","3.60%","3.50%","0.64742","0.64802","0.0927","AUDUSD"
"141370","2025-11-26","4:00","NZD","Official Cash Rate","2.25%","2.25%","2.50%","0.56265","0.56626","0.6416","NZDUSD"
"141477","2025-11-26","16:30","USD","Unemployment Claims","216K","226K","222K","4165.035","4158.725","-0.1515","XAUUSD"
"144966","2025-11-28","16:30","CAD","GDP m/m","0.20%","0.20%","-0.10%","1.40054","1.40016","-0.0271","USDCAD"
"145130","2025-11-17","16:30","CAD","CPI m/m","0.20%","0.20%","0.10%","1.40287","1.40359","0.0513","USDCAD"
"145174","2025-11-17","16:30","CAD","Median CPI y/y","2.90%","3.10%","3.10%","1.40287","1.40359","0.0513","USDCAD"
"145175","2025-11-17","16:30","CAD","Trimmed CPI y/y","3.00%","3.00%","3.10%","1.40287","1.40359","0.0513","USDCAD"
"150895","2025-11-18","11:10","USD","Unemployment Claims","232K","","220K","4022.585","4024.805","0.0552","XAUUSD"
"141628","2025-11-19","3:30","AUD","Wage Price Index q/q","0.80%","0.80%","0.80%","0.65018","0.65029","0.0169","AUDUSD"
"143627","2025-11-19","10:00","GBP","CPI y/y","3.60%","3.50%","3.80%","1.31505","1.31338","-0.127","GBPUSD"
"143674","2025-11-21","10:00","GBP","Retail Sales m/m","-1.10%","-0.10%","0.70%","1.30904","1.30853","-0.039","GBPUSD"
"142221","2025-11-21","11:30","EUR","German Flash Manufacturing PMI","48.4","49.8","49.6","1.15496","1.15462","-0.0294","EURUSD"
"142222","2025-11-21","11:30","EUR","German Flash Services PMI","52.7","54","54.6","1.15496","1.15462","-0.0294","EURUSD"
"142219","2025-11-21","12:30","GBP","Flash Manufacturing PMI","50.2","49.3","49.7","1.30852","1.30778","-0.0566","GBPUSD"
"142220","2025-11-21","12:30","GBP","Flash Services PMI","50.5","51.9","52.3","1.30852","1.30778","-0.0566","GBPUSD"
"143937","2025-11-21","17:45","USD","Flash Manufacturing PMI","51.9","52","52.5","4062.145","4074.005","0.292","XAUUSD"
"143949","2025-11-21","17:45","USD","Flash Services PMI","55","54.6","54.8","4062.145","4074.005","0.292","XAUUSD"
"143812","2025-11-11","10:00","GBP","Claimant Count Change","29.0K","17.6K","0.4K","1.31532","1.31243","-0.2197","GBPUSD"
"144166","2025-11-13","3:30","AUD","Employment Change","42.2K","20.0K","12.8K","0.65323","0.65538","0.3291","AUDUSD"
"144178","2025-11-13","3:30","AUD","Unemployment Rate","4.30%","4.40%","4.50%","0.65323","0.65538","0.3291","AUDUSD"
"143749","2025-11-13","10:00","GBP","GDP m/m","-0.10%","0.00%","0.00%","1.3121","1.31093","-0.0892","GBPUSD"
"140738","2025-11-03","10:30","CHF","CPI m/m","-0.30%","-0.10%","-0.20%","0.80427","0.80471","0.0547","USDCHF"
"141145","2025-11-03","18:00","USD","ISM Manufacturing PMI","48.7","49.4","49.1","4022.085","4025.448","0.0836","XAUUSD"
"141343","2025-11-04","6:30","AUD","Cash Rate","3.60%","3.60%","3.60%","0.65334","0.65224","-0.1684","AUDUSD"
"141743","2025-11-05","0:45","NZD","Employment Change q/q","0.00%","0.10%","-0.20%","0.56512","0.56357","-0.2743","NZDUSD"
"141747","2025-11-05","0:45","NZD","Unemployment Rate","5.30%","5.30%","5.20%","0.56512","0.56357","-0.2743","NZDUSD"
"142729","2025-11-05","16:15","USD","ADP Non-Farm Employment Change","42K","32K","-29K","3971.785","3975.385","0.0906","XAUUSD"
"141168","2025-11-05","18:00","USD","ISM Services PMI","52.4","50.7","50","3973.005","3973.605","0.0151","XAUUSD"
"143365","2025-11-06","15:00","GBP","MPC Official Bank Rate Votes","2000-4-5","2000-3-6","2000-2-7","1.30912","1.30668","-0.1864","GBPUSD"
"143363","2025-11-06","15:00","GBP","Official Bank Rate","4.00%","4.00%","4.00%","1.30912","1.30668","-0.1864","GBPUSD"
"144978","2025-11-07","16:30","CAD","Employment Change","66.6K","-5.0K","60.4K","1.40904","1.40779","-0.0887","USDCAD"
"144990","2025-11-07","16:30","CAD","Unemployment Rate","6.90%","7.10%","7.10%","1.40904","1.40779","-0.0887","USDCAD"
"141632","2025-10-29","3:30","AUD","CPI q/q","1.30%","1.10%","0.70%","0.65803","0.66004","0.3055","AUDUSD"
"144090","2025-10-29","3:30","AUD","CPI y/y","3.50%","3.10%","3.00%","0.65803","0.66004","0.3055","AUDUSD"
"141636","2025-10-29","3:30","AUD","Trimmed Mean CPI q/q","1.00%","0.80%","0.60%","0.65803","0.66004","0.3055","AUDUSD"
"141392","2025-10-29","16:45","CAD","Overnight Rate","2.25%","2.25%","2.50%","1.39264","1.39263","-0.0007","USDCAD"
"141213","2025-10-29","21:00","USD","Federal Funds Rate","4.00%","4.00%","4.25%","3993.958","3993.015","-0.0236","XAUUSD"
"144317","2025-10-30","6:15","JPY","BOJ Policy Rate","<0.50%","<0.50%","<0.50%","152.187","152.869","0.4481","USDJPY"
"142942","2025-10-30","16:15","EUR","Main Refinancing Rate","2.15%","2.15%","2.15%","1.15564","1.15659","0.0822","EURUSD"
"140686","2025-10-31","4:30","CNY","Manufacturing PMI","49","49.6","49.8","7.11073","7.11013","-0.0084","USDCNH"
"144965","2025-10-31","15:30","CAD","GDP m/m","-0.30%","0.00%","0.30%","1.40173","1.40301","0.0913","USDCAD"
"144854","2025-10-20","0:45","NZD","CPI q/q","1.00%","0.80%","0.50%","0.57272","0.57199","-0.1275","NZDUSD"
"145129","2025-10-21","15:30","CAD","CPI m/m","0.10%","-0.10%","-0.10%","1.4038","1.40207","-0.1232","USDCAD"
"145170","2025-10-21","15:30","CAD","Median CPI y/y","3.20%","3.00%","3.20%","1.4038","1.40207","-0.1232","USDCAD"
"145171","2025-10-21","15:30","CAD","Trimmed CPI y/y","3.10%","3.00%","3.00%","1.4038","1.40207","-0.1232","USDCAD"
